track_id,title,genre_top,tag,listens
2,AWOL - A Way Of Life,Hip-Hop,['awol'],6073
3,AWOL - A Way Of Life,Hip-Hop,['awol'],6073
5,AWOL - A Way Of Life,Hip-Hop,['awol'],6073
10,Constant Hitmaker,Pop,"['philly', 'kurt vile']",47632
20,Niris,,"['instrumentals', 'experimental pop', 'post punk', 'experimental rock', 'soundtracks', 'lo fi', 'nicky', 'impro', 'cook', 'nicky andrews', 'ukelele', 'nicky cook', 'singer songwriter', 'tabla']",2710
26,Niris,,"['instrumentals', 'experimental pop', 'post punk', 'experimental rock', 'soundtracks', 'lo fi', 'nicky', 'impro', 'cook', 'nicky andrews', 'ukelele', 'nicky cook', 'singer songwriter', 'tabla']",2710
30,Niris,,"['instrumentals', 'experimental pop', 'post punk', 'experimental rock', 'soundtracks', 'lo fi', 'nicky', 'impro', 'cook', 'nicky andrews', 'ukelele', 'nicky cook', 'singer songwriter', 'tabla']",2710
46,Niris,,"['instrumentals', 'experimental pop', 'post punk', 'experimental rock', 'soundtracks', 'lo fi', 'nicky', 'impro', 'cook', 'nicky andrews', 'ukelele', 'nicky cook', 'singer songwriter', 'tabla']",2710
48,Niris,,"['instrumentals', 'experimental pop', 'post punk', 'experimental rock', 'soundtracks', 'lo fi', 'nicky', 'impro', 'cook', 'nicky andrews', 'ukelele', 'nicky cook', 'singer songwriter', 'tabla']",2710
134,AWOL - A Way Of Life,Hip-Hop,['awol'],6073
135,mp3,Rock,['abominog'],3331
136,mp3,Rock,['abominog'],3331
137,Live at LACE,Experimental,['airway'],1681
138,Live at LACE,Experimental,['airway'],1681
139,Every Man For Himself,Folk,['alec k redfearn and the eyesores'],1304
140,The Blind Spot,Folk,['alec k redfearn and the eyesores'],1300
141,Every Man For Himself,Folk,['alec k redfearn and the eyesores'],1304
142,The Quiet Room,Folk,['alec k redfearn and the eyesores'],845
144,Amoebiasis,Jazz,"['providence', 'amoebic ensemble', 'rhode island']",2014
145,Amoebiasis,Jazz,"['providence', 'amoebic ensemble', 'rhode island']",2014
146,Limbic Rage,Jazz,"['providence', 'amoebic ensemble', 'rhode island']",1446
147,Limbic Rage,Jazz,"['providence', 'amoebic ensemble', 'rhode island']",1446
148,Contradiction,Experimental,['contradiction'],1831
149,Two Gong/Wire Pieces,Experimental,['andy hayleck'],858
150,Two Gong/Wire Pieces,Experimental,['andy hayleck'],858
151,Make Them Suffer,Rock,['animal writes'],244
152,Make Them Suffer,Rock,['animal writes'],244
153,Arc and Sender,Rock,"['philly', 'arc and sender', 'baltimore']",628
154,Arc and Sender,Rock,"['philly', 'arc and sender', 'baltimore']",628
155,unreleased demo,Rock,"['philly', 'arc and sender', 'baltimore']",197
156,Thee Haunted Cobblestone Sunset Concert Series #7,Experimental,['area c'],1845
157,Thee Haunted Cobblestone Sunset Concert Series #7,Experimental,['area c'],1845
158,Thee Haunted Cobblestone Sunset Concert Series #7,Experimental,['area c'],1845
159,Thee Haunted Cobblestone Sunset Concert Series #7,Experimental,['area c'],1845
160,Thee Haunted Cobblestone Sunset Concert Series #7,Experimental,['area c'],1845
161,Thee Haunted Cobblestone Sunset Concert Series #7,Experimental,['area c'],1845
162,Thee Haunted Cobblestone Sunset Concert Series #7,Experimental,['area c'],1845
163,Thee Haunted Cobblestone Sunset Concert Series #7,Experimental,['area c'],1845
164,Thee Haunted Cobblestone Sunset Concert Series #7,Experimental,['area c'],1845
165,Thee Haunted Cobblestone Sunset Concert Series #7,Experimental,['area c'],1845
166,Thee Haunted Cobblestone Sunset Concert Series #7,Experimental,['area c'],1845
167,Thee Haunted Cobblestone Sunset Concert Series #7,Experimental,['area c'],1845
168,Thee Haunted Cobblestone Sunset Concert Series #7,Experimental,['area c'],1845
169,Boss of Goth,Rock,"['portland', 'argumentix']",716
170,Nightmarcher,Rock,"['portland', 'argumentix']",193
171,Victim of Your Life,Rock,"['portland', 'argumentix']",346
172,Heir to the Power Bear Fortune,Rock,"['portland', 'argumentix']",90
173,Boss of Goth,Rock,"['portland', 'argumentix']",716
174,Boss of Goth,Rock,"['portland', 'argumentix']",716
175,Nightmarcher,Rock,"['portland', 'argumentix']",193
176,Victim of Your Life,Rock,"['portland', 'argumentix']",346
177,Boss of Goth,Rock,"['portland', 'argumentix']",716
178,"Tarantula Downpour 7""",Rock,"['portland', 'argumentix']",149
179,Dracula Safari,Rock,"['portland', 'argumentix']",226
181,Scared Famous,Rock,['ariel pinks haunted graffiti'],1339
182,Worn Copy,Rock,['ariel pinks haunted graffiti'],5289
183,The Doldrums,Rock,['ariel pinks haunted graffiti'],869
184,House Arrest,Rock,['ariel pinks haunted graffiti'],831
185,Homemade Hits Vol. 1,,['ariel pinks haunted graffiti'],1042
188,Blue Piano,Folk,['ed askew'],12333
189,What I Know,Folk,['ed askew'],894
190,Blue Piano,Folk,['ed askew'],12333
191,What I Know,Folk,['ed askew'],894
192,What I Know,Folk,['ed askew'],894
193,Blue Piano,Folk,['ed askew'],12333
194,Blue Piano,Folk,['ed askew'],12333
195,What I Know,Folk,['ed askew'],894
196,What I Know,Folk,['ed askew'],894
197,Blue Piano,Folk,['ed askew'],12333
198,Blue Piano,Folk,['ed askew'],12333
199,What I Know,Folk,['ed askew'],894
200,Blue Piano,Folk,['ed askew'],12333
201,What I Know,Folk,['ed askew'],894
202,What I Know,Folk,['ed askew'],894
203,Blue Piano,Folk,['ed askew'],12333
204,Blue Piano,Folk,['ed askew'],12333
205,What I Know,Folk,['ed askew'],894
206,What I Know,Folk,['ed askew'],894
207,Blue Piano,Folk,['ed askew'],12333
208,Blue Piano,Folk,['ed askew'],12333
209,Blue Piano,Folk,['ed askew'],12333
210,Blue Piano,Folk,['ed askew'],12333
211,Blue Piano,Folk,['ed askew'],12333
212,Blue Piano,Folk,['ed askew'],12333
213,Au,Pop,['au'],1148
226,Bad News Bats,Rock,"['philly', 'bad news bats']",2677
228,Bad News Bats,Rock,"['philly', 'bad news bats']",2677
236,Bersa Discos #8,,['banana clipz'],7702
237,6,Jazz,['barnacled'],2544
238,6,Jazz,['barnacled'],2544
246,Open Relationship,,"['athens ga', 'bird names', 'athens', 'vermont', 'chicago', 'fun', 'brattleboro']",3116
247,On Opaque Things,Rock,"['athens ga', 'bird names', 'athens', 'vermont', 'chicago', 'fun', 'brattleboro']",5613
248,Wooden Lake Sexual Diner,,"['athens ga', 'bird names', 'athens', 'vermont', 'chicago', 'fun', 'brattleboro']",2180
249,On Opaque Things,Rock,"['athens ga', 'bird names', 'athens', 'vermont', 'chicago', 'fun', 'brattleboro']",5613
250,Wooden Lake Sexual Diner,,"['athens ga', 'bird names', 'athens', 'vermont', 'chicago', 'fun', 'brattleboro']",2180
251,Wooden Lake Sexual Diner,,"['athens ga', 'bird names', 'athens', 'vermont', 'chicago', 'fun', 'brattleboro']",2180
252,On Opaque Things,Rock,"['athens ga', 'bird names', 'athens', 'vermont', 'chicago', 'fun', 'brattleboro']",5613
253,Open Relationship,,"['athens ga', 'bird names', 'athens', 'vermont', 'chicago', 'fun', 'brattleboro']",3116
254,Open Relationship,,"['athens ga', 'bird names', 'athens', 'vermont', 'chicago', 'fun', 'brattleboro']",3116
255,On Opaque Things,Rock,"['athens ga', 'bird names', 'athens', 'vermont', 'chicago', 'fun', 'brattleboro']",5613
